imageURL,imageID,original,inc_quantity,inc_location,inc_object,inc_gender-number,inc_gender,inc_full
./coco-images/images/COCO_train2014_000000459209.jpg,459209,2 children look at magnetic letters on a refrigerator,5 children look at magnetic letters on a refrigerator,NA,"""2 children look at a colorful drawing on a refrigerator""",A man looks at magnetic letters on a refrigerator.,2 girls look at magnetic letters on a refrigerator.,A man examines magnetic numbers on a locker.
./coco-images/images/COCO_train2014_000000145499.jpg,145499,A lady holding a bottle of ketchup and a dog in a hot dog bun costume.,NA,NA,"""A lady holding a bottle of mustard and a dog in a hot dog bun costume.""",NA,"""A man holding a bottle of ketchup and a dog in a hot dog bun costume.""",Two gentlemen holding cans of mustard and cats in burger costumes at the beach.
./coco-images/images/COCO_train2014_000000184930.jpg,184930,A man carrying two large teddy bears while looking to his left.,Two men carrying two large teddy bears while looking to their left.,"""A man carrying two large teddy bears while looking to his left in a toy store.""","""A man carrying two large suitcases while looking to his left.""",NA,A woman carrying two large teddy bears while looking to her left.,"""A woman carrying three small rabbits while looking to her right."""
./coco-images/images/COCO_train2014_000000461183.jpg,461183,Two men sit on a boat and prepare to scuba dive.,Three men sit on a boat and prepare to scuba dive.,"""Two men sit on a dock and prepare to scuba dive.""",NA,A woman sits on a boat and prepares to scuba dive.,Two women sit on a boat and prepare to scuba dive.,A woman stands on a mountain and prepares to paraglide.
./coco-images/images/COCO_train2014_000000344597.jpg,344597,A person holds a Wii-mote while a dog sleeps in their lap.,NA,"""A person holds a Wii-mote while a dog sleeps in their lap at the gaming arcade.""","""A person holds a book while a cat sleeps in their lap.""",Two people hold Wii-motes while dogs sleep in their laps.,NA,Two men hold Xbox controllers while kittens sleep on their couch.
./coco-images/images/COCO_train2014_000000205931.jpg,205931,A woman is painting designs on an umbrella.,NA,NA,"""A woman is painting designs on a canvas.""",Two men are painting designs on an umbrella.,A man is painting designs on an umbrella.,Two men are sketching patterns on a wall.
./coco-images/images/COCO_train2014_000000528563.jpg,528563,A woman with a tattoo playing the Wii.,NA,NA,"""A woman with a tattoo playing the guitar.""",NA,A man with a tattoo playing the Wii.,Two men with tattoos playing the Xbox at the arcade.
./coco-images/images/COCO_train2014_000000160471.jpg,160471,A man is laying on the floor of a hotel room next to an open suitcase.,NA,"""A man is laying on the floor of a train station next to an open suitcase.""","""A man is laying on the floor of a hotel room next to a half-eaten room service tray.""",Two women are laying on the floor of a hotel room next to an open suitcase.,"""A woman is laying on the floor of a hotel room next to an open suitcase.""",Two women are sitting on the deck of a beach house next to an open picnic basket.
./coco-images/images/COCO_train2014_000000324732.jpg,324732,a woman stands in front of stainless steel refrigerators holding a sign,NA,"""a woman stands in front of stainless steel refrigerators in a warehouse holding a sign""","""A woman stands in front of stainless steel refrigerators holding a puppy.""",two men stand in front of stainless steel refrigerators holding a sign,"""a man stands in front of stainless steel refrigerators holding a sign""",Two men sit behind wooden desks holding a book.
./coco-images/images/COCO_train2014_000000461183.jpg,461183,Two males in scuba gear on a boat.,Four males in scuba gear on a boat.,"""Two males in scuba gear in a diving center.""","""Two males in scuba gear on a dock.""",NA,Two females in scuba gear on a boat.,"""Four females in scuba gear in a submarine."""
./coco-images/images/COCO_train2014_000000121619.jpg,121619,"Without paper handy, a man writes a reminder about the parking meter on his palm.",NA,"Without paper handy, a man writes a reminder about the parking meter on his arm.","Without a notebook handy, a man writes a reminder about the parking meter on his palm.","Without paper handy, two women write reminders about the parking meter on their palms.","Without paper handy, a woman writes a reminder about the parking meter on her palm.","Without a notepad nearby, two women jot down a note about the library hours on their wrists."
./coco-images/images/COCO_train2014_000000035995.jpg,35995,A man in camouflage is shaking hands with a man in a suit in front of some trucks.,NA,"""A man in camouflage is shaking hands with a man in a suit in front of some skyscrapers.""",NA,NA,"""A woman in camouflage is shaking hands with a man in a suit in front of some trucks.""",Two women in camouflage are shaking hands with women in suits in front of some boats.
./coco-images/images/COCO_train2014_000000292101.jpg,292101,A gray cat laying on top of a laptop computer.,NA,"""A gray cat laying on top of a desktop computer.""","""A gray cat laying on top of a wooden table.""",NA,NA,Two brown dogs sitting underneath a wooden desk.
./coco-images/images/COCO_train2014_000000420523.jpg,420523,A banana and strawberry on top of a laptop,NA,"""A banana and strawberry on top of a desk""",NA,NA,NA,Several bananas and strawberries on top of a desk
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A young woman sitting at a table in front of a piece of pizza.,NA,"""A young woman sitting at a counter in front of a piece of pizza.""","""A young woman sitting at a table in front of a laptop.""",NA,A young man sitting at a table in front of a piece of pizza.,Multiple men standing by a counter with a whole pizza pie.
./coco-images/images/COCO_train2014_000000344597.jpg,344597,A pug dog lying on a persons lap who's holding a remote controller.,NA,NA,"""A pug dog lying on a person's lap who's holding a novel.""",NA,NA,Several pug dogs lying on a man's sofa who's holding multiple game controllers.
./coco-images/images/COCO_train2014_000000121619.jpg,121619,"A man is standing beside a parking meter, writing on his hand.",NA,"""A man is standing beside a parking meter at the shopping mall, writing on his hand.""","""A man is standing beside a street lamp, writing on his hand.""","Two women are standing beside a parking meter, writing on their hands.","""A woman is standing beside a parking meter, writing on her hand.""","Two women are sitting next to a river, drawing on their arms."
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man standing over a cake with candles.,NA,"""A man standing over a cake with candles in the kitchen.""","""A man standing over a pizza with toppings.""",NA,A woman standing over a cake with candles.,Two women sitting around a pie without candles.
./coco-images/images/COCO_train2014_000000340923.jpg,340923,An infant and a teddy beat sitting up next to each other.,NA,"""An infant and a teddy bear sitting up next to each other on a picnic blanket.""",NA,NA,An infant and a teddy bear sitting up next to each other.,"""Two male toddlers and their stuffed animals are lying down across from each other."""
./coco-images/images/COCO_train2014_000000292101.jpg,292101,a gray and white cat is laying on top of a laptop,NA,"""A gray and white cat is laying on top of a bookshelf""","""A gray and white cat is laying on top of a bookshelf.""",Two gray and white cats are laying on top of a laptop.,NA,Two black and orange cats are laying underneath a desktop computer.
./coco-images/images/COCO_train2014_000000184930.jpg,184930,a man carrying one brown and one tan stuffed bear standing in front of a car poster,Two men carrying one brown and one tan stuffed bear standing in front of a car poster,"""a man carrying one brown and one tan stuffed bear standing in front of a museum exhibit""","""a man carrying one brown and one tan stuffed bear standing in front of a movie poster""",NA,"""a woman carrying one brown and one tan stuffed bear standing in front of a car poster""",two women carrying multiple green and blue stuffed cats sitting in front of a painting of a train
./coco-images/images/COCO_train2014_000000468357.jpg,468357,"A wallet, laptop, cellphone, cups and bottles of water sitting on a table.",NA,"""A wallet, laptop, cellphone, cups and bottles of water sitting on a desk.""",NA,NA,NA,"Several handbags, tablets, landlines, mugs and jugs of juice positioned on a kitchen counter."
./coco-images/images/COCO_train2014_000000330652.jpg,330652,A couple of kids laying on top of booths.,A group of kids laying on top of booths.,"""A couple of kids laying on top of tables.""",NA,NA,"""A couple of girls laying on top of booths.""",A group of women lounging on top of bar stools.
./coco-images/images/COCO_train2014_000000279373.jpg,279373,A woman in a dress standing by some motorcycles.,NA,"""A woman in a dress standing by some motorcycles at a showroom.""",NA,NA,A man in a dress standing by some motorcycles.,Two men in suits sitting by some bicycles.
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A large white cake sitting on top of a table.,NA,"""A large white cake sitting on top of a kitchen counter.""","""A large white cat sitting on top of a table.""",NA,NA,Two small black cupcakes sitting in a display case.
./coco-images/images/COCO_train2014_000000324732.jpg,324732,A woman standing in front of a metal refrigerator freezer.,NA,"""A woman standing in front of a metal refrigerator freezer in a department store.""","""A woman standing in front of a wooden bookshelf.""",NA,A man standing in front of a metal refrigerator freezer.,Two men sitting behind a wooden cupboard.
./coco-images/images/COCO_train2014_000000145499.jpg,145499,A person in a yellow shirt about to ketchup the dog in a hot dog costume.,NA,NA,"""A person in a yellow shirt about to photograph the dog in a hot dog costume.""",NA,NA,Two people in red shirts about to mustard the cats in hot dog costumes at a party.
./coco-images/images/COCO_train2014_000000459209.jpg,459209,Two small children playing with their refrigerator magnets.,Four small children playing with their refrigerator magnets.,NA,"""Two small children playing with their toy cars.""",NA,Two small girls playing with their refrigerator magnets.,A grown man playing with his car magnets in the garage.
./coco-images/images/COCO_train2014_000000570019.jpg,570019,A hot dog covered in toppings sitting next to beer.,NA,"""A hot dog covered in toppings sitting next to beer at the ballpark.""","""A burger covered in toppings sitting next to beer.""",NA,NA,Several hamburgers loaded with condiments placed near a wine bottle in a kitchen.
./coco-images/images/COCO_train2014_000000335696.jpg,335696,two women are chatting on a brown bench,Three women are chatting on a brown bench.,"""Two women are chatting on a brown bench at the park.""",NA,three men are chatting on a brown bench,Two men are chatting on a brown bench.,Three men are discussing on a blue couch
./coco-images/images/COCO_train2014_000000198072.jpg,198072,A motorcyclist with helmet and neon vest taking a photograph in side mirror,NA,"""A motorcyclist with helmet and neon vest taking a photograph in rearview mirror""","""A motorcyclist with helmet and neon vest checking his reflection in the side mirror""",NA,A motorcyclist with helmet and neon vest takes a photograph in her side mirror.,Two motorcyclists with helmets and neon vests taking a photograph in rearview mirror at the highway.
./coco-images/images/COCO_train2014_000000468357.jpg,468357,A red laptop on a desk with various devices plugged in.,NA,"""A red laptop on a kitchen table with various devices plugged in.""","""A red smartphone on a desk with various devices plugged in.""",NA,NA,"""Several blue laptops in a conference room with numerous cables connected."""
./coco-images/images/COCO_train2014_000000112029.jpg,112029,Girl laying on bed with a stuffed panda posing for the camera.,NA,"""Girl laying on a beach towel with a stuffed panda posing for the camera.""","""Girl laying on bed with a storybook posing for the camera.""",NA,Boy laying on bed with a stuffed panda posing for the camera.,Boy sitting on chair with stuffed elephants posing for the camera.
./coco-images/images/COCO_train2014_000000205931.jpg,205931,A woman painting flowers on a red umbrella.,NA,NA,"""A woman painting flowers on a blue canvas.""",NA,A man painting flowers on a red umbrella.,Two men painting stars on a blue wall.
./coco-images/images/COCO_train2014_000000145499.jpg,145499,A dog inside a stuffed hot dog bun on a man's lap.,NA,NA,"""A cat inside a stuffed hot dog bun on a man's lap.""",NA,A dog inside a stuffed hot dog bun on a woman's lap.,Two cats inside stuffed hamburger buns on a woman's sofa.
./coco-images/images/COCO_train2014_000000528563.jpg,528563,The two friends are playing a game on the Wii console.,A group of friends are playing a game on the Wii console.,NA,"""The two friends are playing a game on the Xbox console.""",A group of girls are playing a game on the Wii console.,The two girlfriends are playing a game on the Wii console.,The group of girls are playing a game on the Xbox console at a sleepover.
./coco-images/images/COCO_train2014_000000330652.jpg,330652,Two children lying on the booth seats of a restaurant.,Four children lying on the booth seats of a restaurant.,"""Two children lying on the couches of a living room.""",NA,NA,Two girls lying on the booth seats of a restaurant.,A man sitting on the deck chair of a beach resort.
./coco-images/images/COCO_train2014_000000184930.jpg,184930,a man holding two very large teddy bears,two men holding two very large teddy bears,NA,"""a man holding two very large watermelons""",NA,a woman holding two very large teddy bears,a woman holding three very small dolls
./coco-images/images/COCO_train2014_000000196545.jpg,196545,The woman is showing the toppings on her hotdog.,NA,NA,"""The woman is showing the toppings on her pizza.""",The men are showing the toppings on their hotdogs.,The man is showing the toppings on his hotdog.,The men are showcasing the toppings on their pizza.
./coco-images/images/COCO_train2014_000000198072.jpg,198072,A man in a helmet observes his reflection in a motorcycle side mirror.,NA,"""A man in a helmet observes his reflection in a motorcycle side mirror at a gas station.""","""A man in a helmet observes his reflection in a shop window.""",NA,"""A woman in a helmet observes her reflection in a motorcycle side mirror.""",Two women in helmets observe their reflections in a car side mirror.
./coco-images/images/COCO_train2014_000000439463.jpg,439463,A woman with a wooden pizza board is near a huge oven.,NA,"""A woman with a wooden pizza board is near a huge oven at the pizzeria.""","""A woman with a wooden pizza board is near a gigantic tree.""",NA,A man with a wooden pizza board is near a huge oven.,Two men with metal barbecue tongs are by a small grill.
./coco-images/images/COCO_train2014_000000394151.jpg,394151,The woman is standing above the two packed suitcases.,Two women are standing above the two packed suitcases.,"""The woman is standing beside the two packed suitcases.""","""The woman is standing above the two sleeping dogs.""",The man is standing above the three packed suitcases.,"""The man is standing above the two packed suitcases.""",The man is sitting below the three unpacked boxes.
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man standing in front of a cake on a table.,NA,"""A man standing in front of a cake in a bakery.""","""A man standing in front of a painting on a wall.""",NA,A woman standing in front of a cake on a table.,Two women sitting behind cookies on a counter.
./coco-images/images/COCO_train2014_000000163939.jpg,163939,A tin cup of noodles in water sitting in front of a computer.,NA,"""A tin cup of noodles in water sitting on a kitchen counter.""",NA,NA,NA,Several aluminum bowls of pasta in broth resting on top of a television.
./coco-images/images/COCO_train2014_000000122731.jpg,122731,A person with face make up and a multi color umbrella and jacket.,NA,NA,NA,NA,NA,"""Several men with face paint and monochrome umbrellas and coats."""
./coco-images/images/COCO_train2014_000000324732.jpg,324732,A woman standing next to refrigerators holding a sign.,NA,"""A woman standing next to refrigerators in a appliance store holding a sign.""","""A woman standing next to refrigerators holding a basket of fruit.""",NA,"""A man standing next to refrigerators holding a sign.""",Two men sitting near ovens holding a photo.
